Symbol,Name,Sector,Industry
IP,International Paper Company Common Stock,Industrials,Containers/Packaging
IPG,Interpublic Group of Companies Inc. (The) Common Stock,Consumer Discretionary,Advertising
IQV,IQVIA Holdings Inc. Common Stock,Health Care,Managed Health Care
IR,Ingersoll Rand Inc. Common Stock,Industrials,Industrial Machinery/Components
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Real Estate,Real Estate Investment Trusts
IRT,Independence Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
IT,Gartner Inc. Common Stock,Finance,Diversified Commercial Services
ITGR,Integer Holdings Corporation Common Stock,Health Care,Medical/Dental Instruments
ITT,ITT Inc. Common Stock ,Industrials,Fluid Controls
ITW,Illinois Tool Works Inc. Common Stock,Industrials,Industrial Machinery/Components
IVZ,Invesco Ltd Common Stock,Finance,Investment Managers
J,Jacobs Engineering Group Inc. Common Stock,Industrials,Oilfield Services/Equipment
JBGS,JBG SMITH Properties Common Shares ,Real Estate,Real Estate Investment Trusts
JBL,Jabil Inc. Common Stock,Technology,Electrical Products
JBT,John Bean Technologies Corporation Common Stock,Industrials,Diversified Manufacture
JEF,Jefferies Financial Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
JLL,Jones Lang LaSalle Incorporated Common Stock,Finance,Real Estate
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
JNPR,Juniper Networks Inc. Common Stock,Technology,Computer peripheral equipment
JOBY,Joby Aviation Inc. Common Stock,Consumer Discretionary,Aerospace
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks
JWN,Nordstrom Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
K,Kellogg Company Common Stock,Consumer Staples,Packaged Foods
KAI,Kadant Inc Common Stock,Technology,Industrial Machinery/Components
KBH,KB Home Common Stock,,
KBR,KBR Inc. Common Stock,Industrials,Oilfield Services/Equipment
KEX,Kirby Corporation Common Stock,Consumer Discretionary,Marine Transportation
KEY,KeyCorp Common Stock,Finance,Major Banks
KEYS,Keysight Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
KFY,Korn Ferry Common Stock,Consumer Discretionary,Diversified Commercial Services
KIM,Kimco Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
KKR,KKR & Co. Inc. Common Stock,Finance,Investment Managers
KMB,Kimberly-Clark Corporation Common Stock,Consumer Discretionary,Paper
KMI,Kinder Morgan Inc. Common Stock,Utilities,Natural Gas Distribution
KMPR,Kemper Corporation,Finance,Property-Casualty Insurers
KMT,Kennametal Inc. Common Stock,Industrials,Industrial Machinery/Components
KMX,CarMax Inc,Consumer Discretionary,Other Specialty Stores
KNSL,Kinsale Capital Group Inc. Common Stock,Finance,Property-Casualty Insurers
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking Freight/Courier Services
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution)
KR,Kroger Company (The) Common Stock,Consumer Staples,Food Chains
KRC,Kilroy Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,Real Estate,Real Estate Investment Trusts
KRO,Kronos Worldwide Inc Common Stock,Industrials,Major Chemicals
KSS,Kohl's Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
KW,Kennedy-Wilson Holdings Inc. Common Stock,Real Estate,Real Estate
KWR,Quaker Houghton Common Stock,Industrials,Automotive Aftermarket
LAD,Lithia Motors Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oilfield Services/Equipment
LCII,LCI Industries,Consumer Discretionary,Auto Parts:O.E.M.
LDOS,Leidos Holdings Inc. Common Stock,Technology,EDP Services
LEA,Lear Corporation Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
LEG,Leggett & Platt Incorporated Common Stock,Consumer Discretionary,Home Furnishings
LEN,Lennar Corporation Class A Common Stock,Real Estate,Building operators
LEVI,Levi Strauss & Co Class A Common Stock,Consumer Discretionary,Industrial Specialties
LH,Laboratory Corporation of America Holdings Common Stock,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
LII,Lennox International Inc. Common Stock,Industrials,Industrial Machinery/Components
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
LMT,Lockheed Martin Corporation Common Stock,Industrials,Aerospace
LNC,Lincoln National Corporation Common Stock,Finance,Life Insurance
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
LPX,Louisiana-Pacific Corporation Common Stock,,
LSI,Life Storage Inc. Common Stock,Real Estate,Real Estate Investment Trusts
LTHM,Livent Corporation Common Stock,Industrials,Industrial Specialties
LUMN,Lumen Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
LVS,Las Vegas Sands Corp. Common Stock,Consumer Discretionary,Hotels/Resorts
LXP,LXP Industrial Trust Common Stock (Maryland REIT),Real Estate,Real Estate Investment Trusts
LYV,Live Nation Entertainment Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
M,Macy's Inc Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services
MAA,Mid-America Apartment Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
MAC,Macerich Company (The) Common Stock,Real Estate,Real Estate Investment Trusts
MAIN,Main Street Capital Corporation Common Stock,Finance,Finance/Investors Services
MAN,ManpowerGroup Common Stock,Consumer Discretionary,Professional Services
MAS,Masco Corporation Common Stock,Industrials,Building Products
MATX,Matson Inc. Common Stock,Consumer Discretionary,Marine Transportation
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants
MCK,McKesson Corporation Common Stock,Health Care,Other Pharmaceuticals
MCO,Moody's Corporation Common Stock,Finance,Advertising
MDC,M.D.C. Holdings Inc. Common Stock,Consumer Discretionary,Homebuilding
MDT,Medtronic plc. Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,MDU Resources Group Inc. Common Stock (Holding Company),Industrials,Consumer Electronics/Appliances
MED,MEDIFAST INC Common Stock,Consumer Discretionary,Other Consumer Services
MET,MetLife Inc. Common Stock,Finance,Life Insurance
MGM,MGM Resorts International Common Stock,Consumer Discretionary,Hotels/Resorts
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,Energy,Oil & Gas Production
MHK,Mohawk Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings
MKC,McCormick & Company Incorporated Common Stock,Consumer Staples,Farming/Seeds/Milling
MKL,Markel Corporation Common Stock,Finance,Property-Casualty Insurers
MLI,Mueller Industries Inc. Common Stock,Industrials,Metal Fabrications
MLM,Martin Marietta Materials Inc. Common Stock,Industrials,Building Materials
MMC,Marsh & McLennan Companies Inc. Common Stock,Finance,Specialty Insurers
MMM,3M Company Common Stock,Industrials,Consumer Electronics/Appliances
MMP,Magellan Midstream Partners L.P. Limited Partnership,Energy,Oil & Gas Production
MMS,Maximus Inc. Common Stock,Consumer Discretionary,Business Services
MO,Altria Group Inc.,Consumer Discretionary,Farming/Seeds/Milling
MOH,Molina Healthcare Inc Common Stock,Health Care,Medical Specialities
MOS,Mosaic Company (The) Common Stock,Industrials,Agricultural Chemicals
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,Oil & Gas Production
MPW,Medical Properties Trust Inc. common stock,Real Estate,Real Estate Investment Trusts
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations
MRO,Marathon Oil Corporation Common Stock,Energy,Oil & Gas Production
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service
MSA,MSA Safety Incorporated Common Stock,Technology,Security Systems Services
MSCI,MSCI Inc Common Stock,Finance,Advertising
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),Consumer Discretionary,Hotels/Resorts
MSI,Motorola Solutions Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
MSM,MSC Industrial Direct Company Inc. Common Stock,Industrials,Industrial Machinery/Components
MSP,Datto Holding Corp. Common Stock,Technology,Computer Software: Prepackaged Software
MTB,M&T Bank Corporation Common Stock,Finance,Major Banks
MTDR,Matador Resources Company Common Stock,Energy,Oil & Gas Production
MTG,MGIC Investment Corporation Common Stock,Finance,Property-Casualty Insurers
MTH,Meritage Homes Corporation Common Stock,Consumer Discretionary,Homebuilding
MTN,Vail Resorts Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
MTOR,Meritor Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
MTX,Minerals Technologies Inc. Common Stock,Industrials,Major Chemicals
MTZ,MasTec Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction
MUR,Murphy Oil Corporation Common Stock,Energy,Oil & Gas Production
MUSA,Murphy USA Inc. Common Stock,Utilities,Natural Gas Distribution
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,Consumer Discretionary,Hotels/Resorts
NCR,NCR Corporation Common Stock,Miscellaneous,Office Equipment/Supplies/Services
NEE,NextEra Energy Inc. Common Stock,Utilities,Electric Utilities: Central
NEM,Newmont Corporation,Basic Materials,Precious Metals
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,Utilities,Electric Utilities: Central
NET,Cloudflare Inc. Class A Common Stock,Technology,EDP Services
NEWR,New Relic Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NEX,NexTier Oilfield Solutions Inc. Common Stock,Energy,Oilfield Services/Equipment
NFG,National Fuel Gas Company Common Stock,Energy,Oil & Gas Production
NHI,National Health Investors Inc. Common Stock,Real Estate,Real Estate Investment Trusts
NI,NiSource Inc Common Stock,Utilities,Power Generation
NJR,NewJersey Resources Corporation Common Stock,Utilities,Oil/Gas Transmission
NKE,Nike Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
NLY,Annaly Capital Management Inc Common Stock,Real Estate,Real Estate Investment Trusts
NNN,National Retail Properties Common Stock,Real Estate,Real Estate Investment Trusts
NOC,Northrop Grumman Corporation Common Stock,Technology,Security Systems Services
NOG,Northern Oil and Gas Inc. Common Stock,Energy,Oil & Gas Production
NOV,NOV Inc. Common Stock,Industrials,Metal Fabrications
NOVA,Sunnova Energy International Inc. Common Stock,Utilities,Electric Utilities: Central
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NPO,EnPro Industries Inc,,
NRG,NRG Energy Inc. Common Stock,Utilities,Electric Utilities: Central
NRZ,New Residential Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
NSC,Norfolk Southern Corporation Common Stock,Industrials,Railroads
NSP,Insperity Inc. Common Stock,Consumer Discretionary,Professional Services
NUE,Nucor Corporation Common Stock,Industrials,Steel/Iron Ore
NUS,Nu Skin Enterprises Inc. Common Stock,Health Care,Other Pharmaceuticals
NVR,NVR Inc. Common Stock,Consumer Discretionary,Homebuilding
NYCB,New York Community Bancorp Inc. Common Stock,Finance,Banks
NYT,New York Times Company (The) Common Stock,Consumer Discretionary,Newspapers/Magazines
O,Realty Income Corporation Common Stock,Real Estate,Real Estate Investment Trusts
OC,Owens Corning Inc Common Stock New,,
OFC,Corporate Office Properties Trust Common Stock,Real Estate,Real Estate Investment Trusts
OGE,OGE Energy Corp Common Stock,Utilities,Electric Utilities: Central
OHI,Omega Healthcare Investors Inc. Common Stock,Real Estate,Real Estate Investment Trusts
OI,O-I Glass Inc. Common Stock,Consumer Discretionary,Containers/Packaging
OKE,ONEOK Inc. Common Stock,Utilities,Oil & Gas Production
OLN,Olin Corporation Common Stock,Industrials,Industrial Specialties
OMC,Omnicom Group Inc. Common Stock,Consumer Discretionary,Advertising
OMI,Owens & Minor Inc. Common Stock,Health Care,Medical Specialities
ONTO,Onto Innovation Inc. Common Stock,Technology,Semiconductors
ORA,Ormat Technologies Inc. Common Stock,Utilities,Electric Utilities: Central
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software
ORI,Old Republic International Corporation Common Stock,Finance,Specialty Insurers
OSH,Oak Street Health Inc. Common Stock,Health Care,Assisted Living Services
OSK,Oshkosh Corporation (Holding Company)Common Stock,Consumer Discretionary,Auto Manufacturing
OWL,Blue Owl Capital Inc. Class A Common Stock,Finance,Investment Managers
OXY,Occidental Petroleum Corporation Common Stock,Energy,Oil & Gas Production
PAG,Penske Automotive Group Inc. Common Stock,Consumer Discretionary,Other Specialty Stores
PB,Prosperity Bancshares Inc. Common Stock,Finance,Major Banks
PBF,PBF Energy Inc. Class A Common Stock,Energy,Integrated oil Companies
PBH,Prestige Consumer Healthcare Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Power Generation
PEAK,Healthpeak Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
PEG,Public Service Enterprise Group Incorporated Common Stock,Utilities,Power Generation
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
PFGC,Performance Food Group Company Common Stock,Consumer Discretionary,Food Distributors
PFSI,PennyMac Financial Services Inc. Common Stock,Finance,Finance: Consumer Services
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
PGR,Progressive Corporation (The) Common Stock,Finance,Property-Casualty Insurers
PH,Parker-Hannifin Corporation Common Stock,Industrials,Office Equipment/Supplies/Services
PHM,PulteGroup Inc. Common Stock,,
PII,Polaris Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
PIPR,Piper Sandler Companies Common Stock,Finance,Investment Bankers/Brokers/Service
PJT,PJT Partners Inc. Class A Common Stock,Finance,Investment Managers
PK,Park Hotels & Resorts Inc. Common Stock ,Consumer Discretionary,Hotels/Resorts
PKG,Packaging Corporation of America Common Stock,Basic Materials,Paper
PKI,PerkinElmer Inc. Common Stock,Health Care,Medical Specialities
PLAN,Anaplan Inc. Common Stock,Technology,Computer Software: Prepackaged Software
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate Investment Trusts
PLNT,Planet Fitness Inc. Common Stock,Consumer Discretionary,Other Consumer Services
PM,Philip Morris International Inc Common Stock,Consumer Discretionary,Farming/Seeds/Milling
PNC,PNC Financial Services Group Inc. (The) Common Stock,Finance,Major Banks
PNM,PNM Resources Inc. (Holding Co.) Common Stock,Utilities,Electric Utilities: Central
POR,Portland General Electric Co Common Stock,Utilities,Electric Utilities: Central
POST,Post Holdings Inc. Common Stock,Consumer Discretionary,Food Distributors
PPG,PPG Industries Inc. Common Stock,Consumer Discretionary,Paints/Coatings
PPL,PPL Corporation Common Stock,Utilities,Electric Utilities: Central
PRGO,Perrigo Company plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
PRI,Primerica Inc. Common Stock,Finance,Life Insurance
PRU,Prudential Financial Inc. Common Stock,Finance,Life Insurance
PSA,Public Storage Common Stock,Real Estate,Real Estate Investment Trusts
PSB,PS Business Parks Inc. (MD) Common Stock,Real Estate,Real Estate Investment Trusts
PSX,Phillips 66 Common Stock,Energy,Integrated oil Companies
PVH,PVH Corp. Common Stock,,
PWR,Quanta Services Inc. Common Stock,Industrials,Engineering & Construction
PXD,Pioneer Natural Resources Company Common Stock,Energy,Oil & Gas Production
QS,QuantumScape Corporation Class A Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
R,Ryder System Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,Hotels/Resorts
RES,RPC Inc. Common Stock,Energy,Oilfield Services/Equipment
REXR,Rexford Industrial Realty Inc. Common Stock,Real Estate,Real Estate Investment Trusts
RF,Regions Financial Corporation Common Stock,Finance,Major Banks
RGA,Reinsurance Group of America Incorporated Common Stock,Finance,Life Insurance
RH,RH Common Stock,Consumer Discretionary,Other Specialty Stores
RHI,Robert Half International Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
RHP,Ryman Hospitality Properties Inc. (REIT),Real Estate,Real Estate Investment Trusts
RJF,Raymond James Financial Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
RL,Ralph Lauren Corporation Common Stock,Consumer Discretionary,Apparel
RLI,RLI Corp. Common Stock (DE),Finance,Property-Casualty Insurers
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value,Real Estate,Real Estate Investment Trusts
RMD,ResMed Inc. Common Stock,Health Care,Medical/Dental Instruments
ROG,Rogers Corporation Common Stock,Technology,Industrial Machinery/Components
ROK,Rockwell Automation Inc. Common Stock,Industrials,Industrial Machinery/Components
ROL,Rollins Inc. Common Stock,Consumer Discretionary,Industrial Specialties
ROP,Roper Technologies Inc. Common Stock,Industrials,Office Equipment/Supplies/Services
RPM,RPM International Inc. Common Stock,Consumer Discretionary,Paints/Coatings
RRC,Range Resources Corporation Common Stock,Energy,Oil & Gas Production
RRX,Regal Rexnord Corporation Common Stock,Consumer Discretionary,Metal Fabrications
RS,Reliance Steel & Aluminum Co. Common Stock (DE),Industrials,Steel/Iron Ore
RSG,Republic Services Inc. Common Stock,Utilities,Environmental Services
RTX,Raytheon Technologies Corporation Common Stock,Industrials,Military/Government/Technical
RYN,Rayonier Inc. REIT Common Stock,Real Estate,Real Estate Investment Trusts
S,SentinelOne Inc. Class A Common Stock,Technology,EDP Services
SAFE,Safehold Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SAIL,SailPoint Technologies Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
SAM,Boston Beer Company Inc. (The) Common Stock,Consumer Staples,Beverages (Production/Distribution)
SAVE,Spirit Airlines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service
SCI,Service Corporation International Common Stock,Consumer Discretionary,Other Consumer Services
SCL,Stepan Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Technology,Computer Software: Prepackaged Software
SEAS,SeaWorld Entertainment Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
SEE,Sealed Air Corporation Common Stock,Industrials,Containers/Packaging
SEM,Select Medical Holdings Corporation Common Stock,Health Care,Hospital/Nursing Management
SFBS,ServisFirst Bancshares Inc. Common Stock,Finance,Major Banks
SHLX,Shell Midstream Partners L.P. Common Units representing Limited Partner Interests,Energy,Oilfield Services/Equipment
SHO,Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares,Real Estate,Real Estate Investment Trusts
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,Paints/Coatings
SI,Silvergate Capital Corporation Class A Common Stock,,
SITC,SITE Centers Corp. Common Stock,Real Estate,Real Estate Investment Trusts
SITE,SiteOne Landscape Supply Inc. Common Stock,,
SIX,Six Flags Entertainment Corporation New Common Stock,Consumer Discretionary,Movies/Entertainment
SJI,South Jersey Industries Inc. Common Stock,Utilities,Oil/Gas Transmission
SJM,J.M. Smucker Company (The) New Common Stock,Consumer Staples,Packaged Foods
SKX,Skechers U.S.A. Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
SKY,Skyline Champion Corporation Common Stock,Consumer Discretionary,Homebuilding
SLG,SL Green Realty Corp Common Stock,Real Estate,Real Estate Investment Trusts
SLVM,Sylvamo Corporation Common Stock,Consumer Staples,Paper
SM,SM Energy Company Common Stock,Energy,Oil & Gas Production
SMAR,Smartsheet Inc. Class A Common Stock,Technology,EDP Services
SMG,Scotts Miracle-Gro Company (The) Common Stock,Industrials,Agricultural Chemicals
SNA,Snap-On Incorporated Common Stock,Consumer Discretionary,Diversified Manufacture
SNAP,Snap Inc. Class A Common Stock,Technology,Internet and Information Services
SNDR,Schneider National Inc. Common Stock,Industrials,Trucking Freight/Courier Services
SNOW,Snowflake Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
SNV,Synovus Financial Corp. Common Stock,Finance,Major Banks
SNX,TD SYNNEX Corporation Common Stock,Technology,EDP Services
SO,Southern Company (The) Common Stock,Utilities,Power Generation
SON,Sonoco Products Company Common Stock,Industrials,Containers/Packaging
SPB,Spectrum Brands Holdings Inc. Common Stock,,
SPG,Simon Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SPGI,S&P Global Inc. Common Stock,Finance,Advertising
SPR,Spirit Aerosystems Holdings Inc. Common Stock,Industrials,Military/Government/Technical
SPXC,SPX Corporation Common Stock,Industrials,Industrial Machinery/Components
SQ,Block Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
SR,Spire Inc. Common Stock,Utilities,Oil/Gas Transmission
SRC,Spirit Realty Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SRE,DBA Sempra Common Stock,Utilities,Oil/Gas Transmission
SSD,Simpson Manufacturing Company Inc. Common Stock,Industrials,Industrial Specialties
SSTK,Shutterstock Inc. Common Stock,Technology,Interactive Media
STAG,Stag Industrial Inc. Common Stock,Real Estate,Real Estate Investment Trusts
STE,STERIS plc (Ireland) Ordinary Shares,Health Care,Industrial Specialties
STOR,STORE Capital Corporation Common Stock,Real Estate,Real Estate Investment Trusts
STT,State Street Corporation Common Stock,Finance,Investment Managers
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,Real Estate,Real Estate Investment Trusts
STZ,Constellation Brands Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
SUI,Sun Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SUM,Summit Materials Inc. Class A Common Stock,Industrials,Building Materials
SUN,Sunoco LP Common Units representing limited partner interests,Energy,Oil Refining/Marketing
SWK,Stanley Black & Decker Inc. Common Stock,Consumer Discretionary,Diversified Manufacture
SWN,Southwestern Energy Company Common Stock,Energy,Oil & Gas Production
SWX,Southwest Gas Holdings Inc. Common Stock (DE),Utilities,Oil & Gas Production
SYF,Synchrony Financial Common Stock,Finance,Diversified Financial Services
SYK,Stryker Corporation Common Stock,Health Care,Medical/Dental Instruments
SYY,Sysco Corporation Common Stock,Consumer Discretionary,Food Distributors
T,AT&T Inc.,Consumer Discretionary,Telecommunications Equipment
TDC,Teradata Corporation Common Stock,Technology,EDP Services
TDG,Transdigm Group Incorporated Common Stock,Industrials,Military/Government/Technical
TDOC,Teladoc Health Inc. Common Stock,Health Care,Medical/Nursing Services
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,Industrial Machinery/Components
TEX,Terex Corporation Common Stock,Industrials,Construction/Ag Equipment/Trucks
TFC,Truist Financial Corporation Common Stock,Finance,Major Banks
TFX,Teleflex Incorporated Common Stock,Health Care,Medical/Dental Instruments
TGNA,TEGNA Inc,Industrials,Broadcasting
TGT,Target Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
THC,Tenet Healthcare Corporation Common Stock,Health Care,Hospital/Nursing Management
THG,Hanover Insurance Group Inc,Finance,Property-Casualty Insurers
THO,Thor Industries Inc. Common Stock,Industrials,Homebuilding
THS,Treehouse Foods Inc. Common Stock,Consumer Staples,Packaged Foods
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
TKR,Timken Company (The) Common Stock,Industrials,Metal Fabrications
TMHC,Taylor Morrison Home Corporation Common Stock,Consumer Discretionary,Homebuilding
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
TNL,Travel   Leisure Co. Common  Stock,Consumer Discretionary,Other Consumer Services
TOL,Toll Brothers Inc. Common Stock,Consumer Discretionary,Homebuilding
TPH,Tri Pointe Homes Inc. Common Stock,Consumer Discretionary,Homebuilding
TPL,Texas Pacific Land Corporation Common Stock,Energy,Oil & Gas Production
TPR,Tapestry Inc. Common Stock,Consumer Discretionary,Apparel
TPX,Tempur Sealy International Inc. Common Stock,Consumer Discretionary,Home Furnishings
TREX,Trex Company Inc. Common Stock,,
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution
TRI,Thomson Reuters Corp Ordinary Shares,,
TRN,Trinity Industries Inc. Common Stock,Industrials,Railroads
TRNO,Terreno Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
TROX,Tronox Holdings plc Ordinary Shares (UK),Industrials,Major Chemicals
TRU,TransUnion Common Stock,Finance,Advertising
TRV,The Travelers Companies Inc. Common Stock,Finance,Property-Casualty Insurers
TSN,Tyson Foods Inc. Common Stock,Consumer Staples,Meat/Poultry/Fish
TTC,Toro Company (The) Common Stock,Consumer Discretionary,Tools/Hardware
TWLO,Twilio Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
TXT,Textron Inc. Common Stock,Industrials,Aerospace
TYL,Tyler Technologies Inc. Common Stock,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
UA,Under Armour Inc. Class C Common Stock,Consumer Discretionary,Apparel
UAA,Under Armour Inc. Class A Common Stock,Consumer Discretionary,Apparel
UDR,UDR Inc. Common Stock,Real Estate,Real Estate Investment Trusts
UE,Urban Edge Properties Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
UGI,UGI Corporation Common Stock,Utilities,Natural Gas Distribution
UHS,Universal Health Services Inc. Common Stock,Health Care,Hospital/Nursing Management
UI,Ubiquiti Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
UNF,Unifirst Corporation Common Stock,Consumer Discretionary,Business Services
UNFI,United Natural Foods Inc. Common Stock,Consumer Discretionary,Food Distributors
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities
UNM,Unum Group Common Stock,Finance,Accident &Health Insurance
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads
UNVR,Univar Solutions Inc. Common Stock,Industrials,Specialty Chemicals
UPS,United Parcel Service Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
URI,United Rentals Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
USB,U.S. Bancorp Common Stock,Finance,Major Banks
USFD,US Foods Holding Corp. Common Stock,Consumer Discretionary,Food Distributors
USM,United States Cellular Corporation Common Stock,Telecommunications,Telecommunications Equipment
V,Visa Inc.,Consumer Discretionary,Business Services
VAC,Marriott Vacations Worldwide Corporation Common Stock,Consumer Discretionary,Hotels/Resorts
VFC,V.F. Corporation Common Stock,Consumer Discretionary,Apparel
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies
VMC,Vulcan Materials Company (Holding Company) Common Stock,,
VMI,Valmont Industries Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
VMW,Vmware Inc. Common stock Class A,Technology,Computer Software: Prepackaged Software
VNO,Vornado Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
VOYA,Voya Financial Inc. Common Stock,Finance,Investment Managers
VRT,Vertiv Holdings LLC Class A Common Stock,Consumer Discretionary,Electrical Products
VSH,Vishay Intertechnology Inc. Common Stock,Technology,Industrial Machinery/Components
VSTO,Vista Outdoor Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
VTR,Ventas Inc. Common Stock,Real Estate,Real Estate Investment Trusts
VVV,Valvoline Inc. Common Stock,Industrials,Automotive Aftermarket
W,Wayfair Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,Industrials,Railroads
WAL,Western Alliance Bancorporation Common Stock (DE),Finance,Major Banks
